name_ua,name_ru,rz_id
Піжами,Пижамы,4637399
Комплекти,Комплекты,4637399
Сорочки,Сорочки,4637407
Одяг для дому та сну,Одежда для дома и сна,4637543
Халати,Халаты,4637415
Домашні костюми,Домашние костюмы,4637543
Топи,Топы,4637607
Повсякденний одяг,Повседневная одежда,1162060
Пляжний одяг,Пляжная одежда,3308284
Сукні,Платья,4637599
Піжамні костюми,Пижамные костюмы,4637399
Для чоловіків,Для мужчин,1162070
Білизна,Белье,2336782
Для підлітків та дітей,Для подростков и детей,4633561
Спортивний одяг для чоловіків,Спортивная одежда для мужчин,4637687
Чоловіча білизна,Мужское белье,2349087
Домашній одяг для чоловіків,Домашняя одежда для мужчин,4637759
Комплекти термобілизни,Комплекты термобелья,100209
Чоловіча термобілизна,Мужское термобелье,100209
